series_id,mse,mae,mase
br_female_outerwear_0,2.075123508000799e-06,0.0011547682115131538,0.38009576005727597
br_female_outerwear_1,4.675458828761374e-06,0.0017680959715770674,0.3938347505812544
br_female_outerwear_2,2.112264713178953e-06,0.0011762582044325006,0.28743527792098245
br_female_outerwear_3,1.2695752857905834e-06,0.0009397459382615672,0.3078649495890237
br_female_outerwear_4,1.2506457599517066e-05,0.002247312633260938,0.38705877056485966
br_female_outerwear_5,7.213846960924111e-06,0.0015388175030313955,0.34768163224815113
br_female_outerwear_6,3.048550790180322e-06,0.0012529230737340778,0.2181278922982658
br_female_outerwear_7,2.434484974339262e-06,0.0011356743700024828,0.43241488988515603
br_female_outerwear_8,1.7343970788363354e-06,0.0010054170273021462,0.367963215843413
br_female_outerwear_9,1.9106067500448784e-06,0.0010875166233452064,0.1952992705409442
br_female_outerwear_10,2.3471977994745844e-06,0.001281202196186448,0.29994822469095855
br_female_outerwear_11,3.5468112798802396e-06,0.001550805308475909,0.2400902608026733
br_female_outerwear_12,6.866395865928945e-07,0.0006804048643634584,0.20778604109425486
br_female_outerwear_13,3.4155644488678684e-06,0.0013351970008021537,0.4635280782548011
br_female_outerwear_14,4.1789130684163475e-06,0.0012433678930876407,0.3872477224984571
br_female_outerwear_15,1.2798736166767613e-05,0.0017784201632011156,0.37915437731063073
br_female_outerwear_16,7.932628044922184e-07,0.0007482158076121299,0.370825128749601
br_female_outerwear_17,1.8395189372270492e-06,0.0010557098898629697,0.6800058700699694
br_female_outerwear_18,9.203271666465606e-06,0.002385313514274303,0.790953495604014
br_female_outerwear_19,3.2098771661143773e-06,0.0012067484261911625,0.49255515027226315
br_female_outerwear_20,4.2799789176155255e-06,0.0010942933853739507,0.3648567472941534
br_female_outerwear_21,1.6633938272136422e-06,0.0008593475319118476,0.40572379925858715
br_female_outerwear_22,7.422530134524151e-07,0.000703647618032267,0.219429388364398
br_female_outerwear_23,1.0860501830495187e-06,0.0007113582274857084,0.3320840615637575
br_female_outerwear_24,4.485678144325333e-06,0.001505752283188695,0.46198262105477983
br_female_outerwear_25,3.511555000045117e-06,0.0011711306923682307,0.38457093568565553
br_female_outerwear_26,1.0558369442554131e-05,0.002138053489213831,0.616101669996577
br_female_outerwear_27,2.4124576538992887e-06,0.0010803611740323783,0.5086559396535577
br_female_outerwear_28,4.875959140755122e-06,0.00135468751542708,0.5034937894370034
br_female_outerwear_29,7.302128090230588e-05,0.004462261980278859,0.45687525419878205
br_female_outerwear_30,3.772424595497937e-06,0.0014162738300155851,0.4492761871315245
br_female_outerwear_31,9.390941904304174e-06,0.0025519908973513986,0.35280482762133425
br_female_outerwear_32,2.5769830323389828e-05,0.0033449838995850095,0.5608701682771836
br_female_outerwear_33,1.247282601671867e-05,0.0014066892776055538,0.2788953116940295
br_female_outerwear_34,3.9298647846838853e-05,0.003536521500369186,0.43842512969308167
br_female_outerwear_35,2.9486938660079585e-06,0.0009629230289210778,0.3335061457065585
br_female_outerwear_36,1.142610593447446e-06,0.000855065308567296,0.18352350457942432
br_female_outerwear_37,3.9032303744940084e-05,0.003480496684311263,0.35461052092964457
br_female_outerwear_38,1.88701780959435e-06,0.0010604742317431805,0.3596900265778598
br_female_outerwear_39,3.0182429417600996e-05,0.0027515137894020894,0.5276465462706142
br_female_outerwear_40,7.889299473850752e-06,0.00164304477822791,0.3939401673868399
br_female_outerwear_41,3.6805696198968705e-05,0.0051573521585812545,0.686737675070502
br_female_outerwear_42,1.5122332387467546e-06,0.0009625743749135478,0.28582528080051434
br_female_outerwear_43,1.7321965027997227e-06,0.0008170954827396854,0.3551681011174435
br_female_outerwear_44,1.6982502761618067e-06,0.000995254897533857,0.33266468610023375
br_female_outerwear_45,1.0692608438706917e-06,0.0008099485191815912,0.367013948076377
br_female_outerwear_46,2.1665940713300743e-06,0.0010535201866890902,0.30624666934371486
br_female_outerwear_47,1.2041728336231357e-06,0.0009630295938383931,0.3720717025465065
br_female_outerwear_48,4.453759721020119e-06,0.0016007815644067287,0.391537052447028
br_female_outerwear_49,5.811562546767541e-06,0.0013648101254107553,0.4151327316302803
br_female_outerwear_50,2.8072948724729085e-06,0.0013042548235099875,0.348479114327797
br_female_outerwear_51,5.53639251600879e-06,0.0013416504855554812,0.5238426356914595
br_female_outerwear_52,1.114854831490404e-06,0.0008620006991588845,0.25396618557551826
br_female_outerwear_53,2.792741726061646e-06,0.0011641997283752463,0.39550880694670526
br_female_outerwear_54,1.23836294551167e-06,0.0009638298203772602,0.30896428458228353
br_female_outerwear_55,5.541116670865796e-06,0.0018103292913298275,0.4927382000999331
br_female_outerwear_56,8.229403537902496e-06,0.0014831771984996564,0.3713079662112333
br_female_outerwear_57,6.62994498132204e-06,0.0015730521268592912,0.4150174577446733
br_female_outerwear_58,9.480030151176315e-06,0.0015954669600330045,0.33896622990428005
br_female_outerwear_59,4.323128368971764e-06,0.0017958058159530403,0.3152025901517945
br_female_outerwear_60,3.80474940085326e-06,0.0011856873570719685,0.3863880481581708
br_female_outerwear_61,2.4359976481306396e-06,0.0012152048646196997,0.29120714432890915
br_female_outerwear_62,1.43858777935209e-06,0.0009257637111730028,0.35363858551496596
br_female_outerwear_63,4.313509625515723e-06,0.0017276020498147742,0.6277801974633016
br_female_outerwear_64,2.2604805801506826e-06,0.0012012045906796822,0.3444655752607676
br_female_outerwear_65,9.346600749431983e-06,0.002901437358835064,1.265588936232553
br_female_outerwear_66,5.782915541696096e-06,0.0015294088847617197,0.38074219615523297
br_female_outerwear_67,2.18193755655907e-06,0.0011979647778457394,0.4377862201021991
br_female_outerwear_68,1.353440908701531e-06,0.0009748809371009708,0.27276295277840706
br_female_outerwear_69,2.2167959825432998e-06,0.001020055852164653,0.37593225087957305
br_female_outerwear_70,1.6987032560409304e-06,0.0009781045294498245,0.2856247899559176
br_female_outerwear_71,5.489159771818756e-06,0.001446449029534821,0.41347771604187494
br_female_outerwear_72,7.350302550821247e-06,0.0015203293535198611,0.42303729427931386
br_female_outerwear_73,1.0940898426591308e-05,0.002099419010741761,0.5461646457087094
br_female_outerwear_74,8.684071928164575e-06,0.0024626620765989915,0.6767896048072146
br_female_outerwear_75,5.923113837178962e-06,0.001884706121123863,0.9710923366430153
br_female_outerwear_76,9.233197909708952e-07,0.0007166999000529101,0.41625575426099937
