series_id,mse,mae,mase
br_female_outerwear_0,4.089044638466802e-06,0.0010927547667111657,0.3596838304589583
br_female_outerwear_1,2.3351649746093427e-06,0.0013040678003449005,0.2904747395763708
br_female_outerwear_2,1.1909288986802241e-06,0.0008827661514106826,0.21571635642055692
br_female_outerwear_3,1.7769360971842016e-06,0.0009073542609984188,0.29725329203169426
br_female_outerwear_4,8.233472245106766e-06,0.0018587933340898635,0.32014338013265703
br_female_outerwear_5,4.383917218665266e-06,0.0012770726742778041,0.2885428005710431
br_female_outerwear_6,2.537886769560907e-06,0.0012528419721822065,0.21811377290742476
br_female_outerwear_7,3.660644113619583e-06,0.0014443696561899702,0.5499524884351148
br_female_outerwear_8,1.4580531222193875e-06,0.0009264755522182645,0.3390721604440116
br_female_outerwear_9,2.117656847819484e-06,0.0011826115056374335,0.21237667491819545
br_female_outerwear_10,1.8532944944900537e-06,0.001077113147831335,0.25216798522899403
br_female_outerwear_11,7.053256774683012e-06,0.00150060416730253,0.23231829548179522
br_female_outerwear_12,3.3915899667726805e-06,0.0009558176468965294,0.29189321719864303
br_female_outerwear_13,2.5852836907018015e-06,0.0011144936124932719,0.3869085102167674
br_female_outerwear_14,3.6686968817458194e-06,0.001152359600739621,0.3589031318618704
br_female_outerwear_15,7.682048925598794e-06,0.0015085390148477163,0.3216164451227581
br_female_outerwear_16,3.04722316748047e-06,0.0008719558325391539,0.4321522354589388
br_female_outerwear_17,1.030797624358326e-06,0.0006133753594474733,0.39508850772885945
br_female_outerwear_18,7.209449281801879e-06,0.0011816306462590811,0.3918205655476669
br_female_outerwear_19,4.741371015723159e-06,0.0010976357895806884,0.4480189487278319
br_female_outerwear_20,4.263110612591378e-06,0.001065719779418313,0.3553298022657174
br_female_outerwear_21,1.6094602900589734e-06,0.0009265147091265345,0.4374354424681624
br_female_outerwear_22,4.1880818011302113e-07,0.0005217076230297588,0.16269220799268633
br_female_outerwear_23,1.745396436885633e-06,0.0007194841547193275,0.33587749617299734
br_female_outerwear_24,5.175740819606838e-06,0.0013052519336547311,0.40046674089689316
br_female_outerwear_25,5.2698017076381295e-06,0.0013833246761411437,0.45425029719346394
br_female_outerwear_26,5.933420832676121e-06,0.0013022900547958688,0.3752680097235044
br_female_outerwear_27,1.7193504677234612e-06,0.0008572858935383184,0.4036275758614077
br_female_outerwear_28,3.4489761526011527e-06,0.0011803558828038037,0.4387003272336104
br_female_outerwear_29,4.130121921209632e-05,0.0034152440777745073,0.34967478670685376
br_female_outerwear_30,5.067120863049302e-06,0.001206551797819646,0.3827473048027241
br_female_outerwear_31,1.25722311354678e-05,0.0030726519824303385,0.42478460801986856
br_female_outerwear_32,2.3677820446047357e-05,0.0024304700935488597,0.40752906778730136
br_female_outerwear_33,1.6387906491680162e-05,0.002399316736818294,0.47569722739812964
br_female_outerwear_34,3.949882430100243e-05,0.003423856566492117,0.4244579763075416
br_female_outerwear_35,3.560967093677006e-06,0.0012456704415116167,0.4314350527420776
br_female_outerwear_36,8.091088181533182e-06,0.0022910719391687068,0.4917350140474409
br_female_outerwear_37,2.2736483075426097e-05,0.0026393206340554042,0.26890727095404576
br_female_outerwear_38,2.16873759205046e-06,0.0011696870524337366,0.3967326639197
br_female_outerwear_39,2.3013087551008762e-05,0.0030494707542701653,0.5847845348409272
br_female_outerwear_40,4.3747101459415894e-06,0.0011254096904196177,0.2698307968823834
br_female_outerwear_41,2.8546389757341504e-05,0.004073871427775427,0.5424646033123055
br_female_outerwear_42,4.023823029122539e-06,0.0009870782977090707,0.29310143607357936
br_female_outerwear_43,1.1625256923687735e-06,0.0006954640438702427,0.3022983838175804
br_female_outerwear_44,2.39903305368075e-06,0.0007883893272647487,0.2635197161342078
br_female_outerwear_45,6.039614310929838e-07,0.0005257906013934397,0.23825277768745978
br_female_outerwear_46,5.029025148487942e-06,0.0014294911111235077,0.41553725991129487
br_female_outerwear_47,3.4504375911808277e-06,0.0010177782218414163,0.3932241316758949
br_female_outerwear_48,2.975094692426214e-06,0.0013725379355131158,0.3357106738305684
br_female_outerwear_49,3.808915585456419e-06,0.001213858816617498,0.36921804504070715
br_female_outerwear_50,2.4265701019065837e-06,0.0012642548792444774,0.33779167434325974
br_female_outerwear_51,4.859138998821506e-06,0.0011693273644762048,0.4565596891203395
br_female_outerwear_52,1.9320671441149525e-06,0.0010601110126308507,0.3123342596208639
br_female_outerwear_53,1.5780187276287384e-06,0.000751271204902298,0.2552262903883352
br_female_outerwear_54,9.063683601531559e-07,0.0007859023382027331,0.25192803598804286
br_female_outerwear_55,3.831837739965378e-06,0.0013680528485853956,0.37235872030683503
br_female_outerwear_56,5.747273315146982e-06,0.0014670210806441908,0.36726334142273853
br_female_outerwear_57,6.064347392857381e-06,0.0017298717918445836,0.4563911017424154
br_female_outerwear_58,5.135186154024524e-06,0.0013620938838302542,0.2893847632971784
br_female_outerwear_59,5.045081861477963e-06,0.0018974218150011532,0.3330383861027221
br_female_outerwear_60,2.4504579266454443e-06,0.0008582782710513595,0.2796930100925207
br_female_outerwear_61,3.251538194871284e-06,0.001208498346767209,0.28960001949829406
br_female_outerwear_62,1.4795070664463889e-06,0.0006175037238297606,0.2358843199510248
br_female_outerwear_63,2.3833356706456764e-06,0.0008757845569394991,0.3182447034892879
br_female_outerwear_64,1.0922961766156674e-06,0.0008577559692669026,0.2459759192392825
br_female_outerwear_65,2.9818050851946665e-06,0.0008320586225515157,0.36293879783118826
br_female_outerwear_66,5.131437021175183e-06,0.0014079887237307864,0.3505149761952534
br_female_outerwear_67,3.3930311575185817e-06,0.0011390964130536209,0.4162732679832866
br_female_outerwear_68,4.91214288499047e-06,0.0011942572802623853,0.33414248832289883
br_female_outerwear_69,4.019766342095176e-06,0.0010753259506838342,0.3963015399714978
br_female_outerwear_70,1.1310768913930557e-06,0.0007549664839288754,0.2204643132746116
br_female_outerwear_71,6.596624968211358e-06,0.0014023397037733368,0.400868752366279
br_female_outerwear_72,7.19333501744302e-06,0.0016982180486130078,0.4725354849712557
br_female_outerwear_73,7.967523732159017e-06,0.0014417453570367083,0.3750705971981828
br_female_outerwear_74,7.914966634201054e-06,0.001532599168423198,0.4211894093717765
br_female_outerwear_75,5.284284650762124e-06,0.0015473420249675224,0.7972659322163334
br_female_outerwear_76,6.938796327382925e-07,0.0005966405376394112,0.3465258708693088
br_female_outerwear_77,3.3420037774949434e-06,0.000907872404644104,0.3184673201236209
br_female_outerwear_78,5.372556162600492e-06,0.0020129935059890487,0.44548444108917234
br_female_outerwear_79,8.135927924100104e-05,0.007697013728727332,0.696176328035419
br_female_outerwear_80,1.5908605689159043e-05,0.002130222549784835,0.23089379858162598
br_female_outerwear_81,5.37102506480466e-06,0.0016787831479173827,0.3982624523125304
br_female_outerwear_82,1.7125655497086756e-06,0.0007531673599587644,0.34120276083434714
br_female_outerwear_83,2.6964955672558977e-05,0.0026313325746694393,0.36492277718744043
br_female_outerwear_84,0.00013044182614962218,0.006636613055592982,0.5904142121268546
br_female_outerwear_85,0.00014183104156848927,0.006924114704686128,0.4854310105796644
br_female_outerwear_86,3.1832230798371284e-06,0.0012844641699771956,0.3263427506990287
br_female_outerwear_87,2.3968543732284264e-06,0.0012889381609783462,0.4265863295408929
br_female_outerwear_88,2.1926428833780223e-05,0.0037819042986747997,0.6353066188063845
br_female_outerwear_89,7.686550857809437e-05,0.005376194763093924,0.47307761435701545
br_female_outerwear_90,4.4839563786176095e-06,0.0016709086642184598,0.45477079458640773
